kegg_compound	bigg_id	universal_bigg_id
C05263	3oddcoa_m	3oddcoa
C05753	3odecACP_h	3odecACP
C05269	3ohcoa_x	3ohcoa
C05759	3omrsACP_h	3omrsACP
C05267	3oocoa_m	3oocoa
C05750	3ooctACP_h	3ooctACP
C00197	3pg_x	3pg
C03232	3php_h	3php
C01269	3psme_h	3psme
C00606	3sala_h	3sala
C00334	4abut_h	4abut
C11435	4c2me_h	4c2me
C01036	4mlacac_n	4mlacac
C04732	4r5au_h	4r5au
C03939	acACP_h	acACP
C00024	accoa_s	accoa
C01077	achms_h	achms
C00229	ACP_h	ACP
C05744	actACP_h	actACP
C00021	ahcys_g	ahcys
C04677	aicar_h	aicar
C01010	allphn_m	allphn
C01551	alltn_m	alltn
C01262	ans_c	ans
C00108	anth_h	anth
C02248	apocytc_h	apocytc
C02248	apocytc_m	apocytc
C00224	aps_h	aps
C00224	aps_m	aps
C00136	btcoa_x	btcoa
C06250	btnCCP_h	btnCCP
C04246	but2eACP_h	but2eACP
C00575	camp_n	camp
C01673	cat_c	cat
C04419	cbtnCCP_h	cbtnCCP
C05306	cholphya_u	cholphya
C00327	citr__L_h	citr__L
C00237	co_h	co
C00011	co2_h	co2
C00010	coa_s	coa
C03263	cpppg3_h	cpppg3
C00524	cytc_h	cytc
C00524	cytc_m	cytc
C06109	cytP450o_h	cytP450o
C05422	dhdascb_u	dhdascb
C00579	dhlam_h	dhlam
C16608	dmcital_c	dmcital
C00857	dnad_h	dnad
