ec_number	bigg_reaction_id
1.1.1.215	2DGLCNRy
2.8.1.6	BTS4
1.2.2.1	FDH4pp_1
1.1.1.35	HACD1i
1.1.1.211	HACD2i
1.1.1.35	HACD2i
1.1.1.211	HACD4i
1.1.1.35	HACD4i
1.1.1.211	HACD6i
1.1.1.35	HACD6i
1.1.1.211	HACD7i
1.1.1.35	HACD7i
4.2.1.109	MDRPD
5.3.1.23	MTRI
2.7.1.100	MTRK
4.1.3.36	NPHS
4.1.1.71	OXGDC2
2.7.4.13	URIDK2r
2.7.4.4	URIDK2r
2.7.4.9	URIDK2r
3.1.3.68	2DOXG6PP
1.1.1.27	2HBO
1.1.1.102	3DSPHR
3.5.1.63	AABTN
2.6.1.39	AATA
2.3.1.16	ACACT4p
2.3.1.9	ACACT4p
2.3.1.9	ACACT5p
2.3.1.16	ACACT6p
2.3.1.9	ACACT6p
2.3.1.155	ACACT7p
2.3.1.16	ACACT7p
2.3.1.9	ACACT7p
6.4.1.2	ACCOACrm
2.3.1.4	ACGAM6PS
5.4.2.3	ACGAMPM
2.2.1.6	ACHBSm
2.2.1.6	ACLSm
4.2.1.3	ACONT
2.7.4.3	ADK1m
2.7.4.10	ADK3m
2.7.4.4	ADK3m
1.2.1.38	AGPRim
3.3.1.1	AHCi
2.5.1.49	AHSERL
2.5.1.49	AHSERL2
4.1.1.21	AIRCr
1.2.4.2	AKGDam
1.1.1.2	ALCD19y
1.1.1.21	ALCD19y
1.1.1.372	ALCD19y
1.1.1.72	ALCD19y
1.1.1.1	ALCD22xi
1.1.1.2	ALCD22xi
1.1.1.2	ALCD22yi
1.1.1.21	ALCD22yi
1.1.1	ALCD23yi
1.1.1.1	ALCD23yi
1.1.1.21	ALCD23yi
1.1.1.265	ALCD24yi
1.1.1	ALCD25yi
1.1.1.21	ALCD25yi
1.1.1.190	ALCD26xim
1.2.1.3	ALDD20xm
3.5.3.4	ALLTAHr
3.5.1.54	ALPHNH
3.5.1.11	AMID2
3.5.1.4	AMID2
3.5.4.17	AMPDA
3.5.4.6	AMPDA
1.1.3.37	ARAB14LO
1.1.1.117	ARAB1D2
3.5.3.1	ARGN
2.1.1.-	ARMT
2.6.1.1	ASPTAm
2.7.7.53	ATPATF3
3.6.3.14	ATPS3m
1.1.1.4	BTDD_RR
1.3.1.71	C24STRer
5.3.3.1	C3STDH1
2.7.7.15	CHLPCTD
5.3.3.5	CHLSTI
3	COAHLp
3.6.1.-	COAHLp
6.2.1.12	COUCOAFm
2.3.1.7	CSNATm
2.3.1.7	CSNATr
2.3.3.1	CSm
2.3.3.16	CSm
2.3.3.3	CSm
2.3.3.1	CSp
2.3.3.16	CSp
2.3.3.3	CSp
4.4.1.8	CYSTLp
4.2.1.22	CYSTS
1.14.19.1	DESAT16
3.2.1.20	DGGH
3.2.1.22	DGGH
4.2.1.9	DHAD1m
4.2.1.9	DHAD2m
1.5.1.3	DHFRim
2.3.1.57	DIAT
2.1.1.98	DIPS
1.1.1.169	DPRm
2.7.1.15	DRBK
4.2.1.17	ECOAH11p
4.2.1.17	ECOAH4p
4.2.1.74	ECOAH4p
