kegg_reaction_id	bigg_reaction_id
R06152	GALS4
R00013	GLXCBL
R01737	GNKr
R01975	HACD1_1
R01745	HOXPRx
R03243	HSTPTr
R00022	HXAD
R06141	HXAD
R04558	IG3PS_1
R02288	IZPN_1
R01555	MPL
R06040	MPL
R00667	ORNTA_1
R02282	ORNTAC_1
R02728	PGMT_B
R04037	PRAMPC_1
R01682	SALADC2
R02864	SHCHF_2
R01288	SHSL2
R01751	TARTDC
R01434	VALDHr
R03080	ALCD21_D
R02531	ALCD22_L
R10715	ALCD22_L
R00248	GLUDym
R00185	ADNK1n
R00509	ADSKn
R10270	AGXT2L2
R05631	B3GALT3g_cho
R05962	B3GALT3g_cho
R05110	B3GALT43g_cho
R05948	B3GALT43g_cho
R02391	BILIRED2
R01462	CHOLESTle
R02089	DADNKn
R01668	DCTPDPm
R01668	DCTPDPn
R07015	DHDDH
R02094	DTMPKm
R11323	DTTPDPn
R00078	FEROc
R01085	FUMAH
R06024	FUT14g_cho
R06155	FUT31g_cho
R06025	FUT91g_cho
R06075	FUT92g_cho
R06095	FUT93g_cho
R05105	GAL3ST12_cho
R06122	GAL3ST12_cho
R01498	GBAl_cho
R04494	GLCNACT_cho
R05970	GLCNACT_cho
R10053	GULOer
R00132	HCO3Ee
R10092	HCO3Ee
R02197	ILEOX
R00648	METOX
R09087	MINOHPKn
R01271	NMNSn
R05841	PHACCOAGLYACm
R06875	PI34P3P
R07299	PI34P4Pn_cho
R03363	PI3P3Pn_cho
R04545	PI45P3K_cho
R08981	PI45P4P_cho
R05795	PI4P3K_cho
