bigg_id	universal_bigg_id	name
hom__L_p	hom__L	L-Homoserine
hxan_p	hxan	Hypoxanthine
imp_p	imp	IMP C10H11N4O8P
indole_p	indole	Indole
lcts_p	lcts	Lactose C12H22O11
lipa_p	lipa	KDO(2)-lipid (A)
lipa_cold_p	lipa_cold	Cold adapted KDO(2)-lipid (A)
malt_p	malt	Maltose C12H22O11
malthx_p	malthx	Maltohexaose
maltpt_p	maltpt	Maltopentaose
met__L_p	met__L	L-Methionine
metsox_S__L_p	metsox_S__L	L-Methionine Sulfoxide
murein3p3p_p	murein3p3p	Two linked disacharide tripeptide murein units (uncrosslinked, middle of chain)
murein4px4p4p_p	murein4px4p4p	Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala), one uncrosslinked tetrapaptide) (middle of chain)
murein5p5p5p_p	murein5p5p5p	Three linked disacharide pentapeptide murein units (uncrosslinked, middle of chain)
murein5px4px4p_p	murein5px4px4p	Three disacharide linked murein units (pentapeptide crosslinked tetrapeptide (A2pm->D-ala) tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain)
ni2_p	ni2	Nickel
o16a2und_p	o16a2und	(O16 antigen)x2 undecaprenyl diphosphate
o16aund_p	o16aund	O16 antigen undecaprenyl diphosphate
ocdcea_p	ocdcea	Octadecenoate (n-C18:1)
pe120_p	pe120	Phosphatidylethanolamine (didodecanoyl, n-C12:0)
pe160_p	pe160	Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)
peamn_p	peamn	Phenethylamine
pg120_p	pg120	Phosphatidylglycerol (didodecanoyl, n-C12:0)
pg141_p	pg141	Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)
pg161_p	pg161	Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)
pgp140_p	pgp140	Phosphatidylglycerophosphate (ditetradecanoyl, n-C14:0)
phe__L_p	phe__L	L-Phenylalanine
progly_p	progly	L-Prolinylglycine
psclys_p	psclys	Psicoselysine
pser__L_p	pser__L	O-Phospho-L-serine
pydx_p	pydx	Pyridoxal
r5p_p	r5p	Alpha-D-Ribose 5-phosphate
rib__D_p	rib__D	D-Ribose
sel_p	sel	Selenate
ser__D_p	ser__D	D-Serine
succ_p	succ	Succinate
sucr_p	sucr	Sucrose C12H22O11
tartr__D_p	tartr__D	D-tartrate
thr__L_p	thr__L	L-Threonine
thymd_p	thymd	Thymidine C10H14N2O5
tma_p	tma	Trimethylamine
tmao_p	tmao	Trimethylamine N-oxide
ttdcea_p	ttdcea	Tetradecenoate (n-C14:1)
udcpdp_p	udcpdp	Undecaprenyl diphosphate
ump_p	ump	UMP C9H11N2O9P
ura_p	ura	Uracil
urea_p	urea	Urea CH4N2O
xan_p	xan	Xanthine
xylu__L_p	xylu__L	L-Xylulose
zn2_p	zn2	Zinc
2kmb_c	2kmb	2-keto-4-methylthiobutyrate
fldrd_c	fldrd	Flavodoxin (reduced) - obsolete
