ReactionID	StochCoeff	Substrates	other site
R02225	1	C00002	
R02225	1	C00413	
R07059	1	C01222	
R02416	1	C00493	
R02416	1	C00223	
R07073	1	C14839	
R06057	1	G00284	
R06057	1	C00009	
R08354	1	C00002	
R08354	1	C00051	
R08354	1	C16565	
R10965	5	C00083	
R00391	1	C00024	
R00391	1	C00040	
R09111	1	C11901	
R05266	1	C06575	
R05266	2	C00080	
R05266	1	C00007	
R05266	2	C00138	
R11623	1	C01097	
R07070	1	C14840	
R07070	1	C00051	
R09903	1	C06089	
R10208	1	C01271	
R09559	1	C18054	
R09559	1	C00061	
R00750	1	C00022	
R00750	1	C00084	
